LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
2500,Johnston City P.L.,506 Washington Ave.,Johnston City,62951,1697,6189836359,3706,1,0,0,0,1.13,0.25,1.38,12992,9792,0,8830,31614,,,,5545,,29729,0,14051,0,36,38,1664,15850,2704,23446,4,1323,5614,640,ME,CI,SO,Williamson,Y,-1,-1,-1,,Y,PI,3706,IL0260,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2510,Joliet P.L.,150 North Ottawa St.,Joliet,60431,1152,8157402660,82808,1,0,0,9.38,9.38,30.6,39.98,1968810,15560,0,852723,2837093,737134,90410,827544,311765,320728,1460037,952445,306227,10383,1300,400,3692,245960,60736,444027,11292,2551,179613,3857,ME,CI,SO,Will,Y,-1,65000,-1,,Y,ST,82808,IL0261,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2520,Jonesboro P.L.,412 South Main,Jonesboro,62952,0430,6188338121,1786,1,0,0,0,0.5,0,0.5,7262,2606,0,9681,19549,,,,1582,,11256,0,6306,6,18,11,1040,3338,858,5084,0,202,1916,117,ME,CI,SO,Union,Y,-1,15,-1,,N,,1786,IL0262,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2526,Justice P.L.D.,7641 Oak Grove Avenue,Justice,60458,1358,7084961790,12610,1,0,0,0.94,0.94,4.47,5.41,253379,15762,0,149311,418452,94365,14790,109155,23835,56385,189375,193876,26209,295,716,81,2808,46904,8268,55674,1174,2400,23246,1072,ME,SD,SO,Cook,Y,-1,7433,-1,,N,,12610,IL0263,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2530,Kaneville P.L.D.,2S101 Harter Road,Kaneville,60144,0029,7085572441,1367,1,0,0,0.42,0.42,0.68,1.1,45324,1708,0,5852,52884,,,,9669,,49498,0,13671,553,458,66,1664,6252,440,9248,26,142,4409,313,ME,SD,SO,Kane,Y,-1,750,-1,,N,,1367,IL0264,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2540,Kankakee P.L.,304 S. Indiana Avenue,Kankakee,60901,3904,8159394564,27541,1,0,0,0,4.69,9.63,14.31,329886,32762,45000,24371,432019,204861,29123,233984,96921,36197,367102,142764,98222,1434,925,250,3380,60950,6656,116086,3300,2784,37550,1670,ME,CI,SO,Kankakee,Y,-1,8505,-1,,Y,PI,27541,IL0265,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2550,Kansas Community Mem. Lib.,107 North Front Street,Kansas,61933,0319,2179485484,1114,1,0,0,0,0.7,0.03,0.72,13593,10432,0,1140,25165,,,,4956,,19329,2243,4111,31,50,15,1456,3268,2000,3775,0,506,1834,547,ME,CI,SO,Edgar,Y,-1,2196,-1,,N,,1114,IL0266,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2560,Kewanee P.L.D.,102 South Tremont Street,Kewanee,61443,2198,3098524505,14671,1,0,0,0,4.15,6.83,10.97,155322,22825,0,104574,282721,141058,24595,165653,51369,17533,234555,22177,42582,1544,1271,137,3172,76908,9282,110780,1304,1277,31709,4297,ME,SD,SO,Stark,Y,-1,9775,-1,,Y,ST,14671,IL0267,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2570,Kirkland P.L.,513 W. Main St.,Kirkland,60146,0376,8155226260,1011,1,0,0,0,0.7,0,0.7,10852,1283,0,2586,14721,,,,7548,,18801,0,10401,140,159,25,988,8500,3042,11271,0,376,7803,200,ME,CI,SO,DeKalb,Y,-1,1000,-1,,N,,1011,IL0268,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2580,Knoxville P.L.,200 East Main Street,Knoxville,61448,1351,3092892113,3243,1,0,0,0,0.8,0.42,1.23,18534,4176,0,7864,30574,,,,4064,,29799,0,19692,655,209,59,1976,7029,884,11480,35,52,5267,580,ME,CI,SO,Knox,Y,-1,139,-1,,N,,3243,IL0269,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2590,Lacon P.L.D.,205 Sixth Street,Lacon,61540,1244,3092462855,1986,1,0,0,0,0.55,0,0.55,11762,6791,0,1428,19981,,,,7750,,22001,0,11402,7,134,50,1144,7507,662,23877,5,407,11684,556,ME,SD,SO,Marshall,Y,-1,0,-1,,Y,PI,1986,IL0270,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2600,Ladd P.L.D.,125 N. Main,Ladd,61329,0307,8158943254,1582,1,0,0,0.3,0.95,0,0.95,18096,1978,0,2652,22726,,,,3722,,22605,0,7985,170,92,6,1768,3224,12740,5923,1,117,2610,972,ME,SD,SO,Bureau,Y,-1,568,-1,,N,,1582,IL0271,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2610,Ira C. Reed P.L.,302 Jackson,LaFayette,61449,0185,        -1,231,1,0,0,0,0.13,0,0.13,610,737,0,1232,2579,,,,409,,2996,0,6104,0,14,9,260,893,75,881,0,0,517,146,ME,CI,SO,Stark,Y,-1,0,-1,,N,,231,IL0272,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2620,LaGrange P.L.,10 West Cossitt Avenue,LaGrange,60525,2391,7083520576,15362,1,0,0,5.5,5.5,13.05,18.55,713254,37290,75000,162272,987816,425989,102932,528921,83390,164091,776402,163492,87233,1766,13,293,3588,152263,25922,174291,3285,3853,69001,1712,ME,CI,SO,Cook,Y,-1,55538,-1,,Y,ST,15362,IL0273,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2630,LaGrange Park P.L.D.,555 N. La Grange Road,LaGrange Park,60526,5644,7083520100,12861,1,0,0,3.53,5.41,5.97,11.38,723621,20375,0,68663,812659,257137,52756,309893,54366,142361,506620,229633,51986,2783,704,222,2912,111176,13442,137067,2543,4157,51736,3848,ME,SD,SO,Cook,Y,-1,21050,-1,,Y,PI,12861,IL0274,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2640,LaHarpe Carnegie P.L.D.,209 E. Main St.,LaHarpe,61450,0506,2176597729,2502,1,0,0,0,1.18,0.25,1.43,36481,3788,0,2582,42851,,,,4332,,29716,5650,18530,228,36,48,1560,8472,2444,14275,108,495,6508,456,ME,SD,SO,Hancock,Y,-1,5971,-1,,Y,PI,2502,IL0275,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2650,Lake Bluff P.L.,123 Scranton Avenue,Lake Bluff,60044,2594,7082342540,5486,1,0,0,1.75,2.25,4.47,6.72,287692,6858,0,15898,310448,180858,14184,195042,65880,42777,303699,0,47280,1385,385,152,2912,29848,9594,72335,612,710,37230,1716,ME,CI,SO,Lake,Y,-1,9454,-1,,Y,PI,5486,IL0276,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2660,Lake Forest Lib.,360 E. Deerpath,Lake Forest,60045,2252,7082340636,17836,1,0,0,8.49,8.49,16.77,25.26,1678639,22295,0,125408,1826342,924731,240828,1165559,215821,0,1381380,250833,110704,4078,1588,400,3588,260005,42565,348755,3425,2718,136699,7476,ME,CI,SO,Lake,Y,-1,116108,-1,,Y,PE,17836,IL0277,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2670,Lake Villa P.L.D.,1001 E. Grand Ave.,Lake Villa,60046,9154,7083567711,20764,1,0,0,5.22,10.69,9.21,19.89,1213770,33847,0,109708,1357325,555419,119241,674660,149566,302169,1126395,152107,77798,5527,2008,281,3536,148928,21589,371263,3896,2946,170794,10788,ME,SD,SO,Lake,Y,-1,50616,-1,,Y,PE,20764,IL0278,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2680,LaMoille-Clarion P.L.D.,81 Main Street,LaMoille,61330,0260,8156382356,2020,1,0,0,0,0.7,0.38,1.07,28535,3629,0,12216,44380,,,,5897,,30916,9683,14736,5,229,75,1508,8700,962,9223,10,378,5391,312,ME,SD,SO,Bureau,Y,-1,2855,-1,,Y,ST,2020,IL0279,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2075,Greater West Central P.L.D.,202 Center Street,Augusta,62301,0235,2173922211,4859,1,4,0,0,3.06,0.09,3.15,56627,6702,0,4519,67848,31047,2572,33619,8044,24415,66078,0,30880,1390,147,137,3588,16429,1898,33046,823,1234,10041,1318,ME,SD,MO,Schuyler,Y,-1,126,-1,,Y,ST,4859,IL0280,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2690,Lanark P.L.,110 West Carroll Street,Lanark,61046,0122,8154932166,1382,1,0,0,0,0.75,0.1,0.85,15571,1945,0,8780,26296,,,,7537,,18305,2957,20012,61,113,51,1300,5220,2028,16705,71,390,5653,105,ME,CI,SO,Carroll,Y,-1,2869,-1,,N,,1382,IL0281,IL,17,96,03,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
2700,Lewis O. Flom Lansing P.L.,2750 Indiana Ave.,Lansing,60438,2297,7084742447,28131,1,0,0,2.63,4.38,10.78,15.15,740755,35164,0,8968,784887,325972,130623,456595,115414,211409,783418,0,107494,3532,1299,297,3276,103950,12714,186649,3235,4545,72246,2149,ME,CI,SO,Cook,Y,-1,14912,-1,,N,,28131,IL0282,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2710,LaSalle P.L.,305 Marquette St.,LaSalle,61301,2196,8152232341,9717,1,0,0,1,2,1.75,3.75,89707,12146,32750,19449,154052,54638,15786,70424,17906,14985,103315,0,49344,1197,246,86,2912,7000,700,33146,510,568,7922,150,ME,CI,SO,LaSalle,Y,-1,7000,-1,,N,,9717,IL0283,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2720,Lawrence P.L.D.,814 12th St.,Lawrenceville,62439,2429,6189433016,7041,1,0,0,0,0.88,2.75,3.63,65490,13869,0,18322,97681,50835,7824,58659,17104,18158,93921,0,36856,468,620,72,2288,33654,2964,58683,0,494,12538,836,ME,SD,SO,Lawrence,Y,-1,50,-1,,Y,PI,7041,IL0284,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2730,Lebanon P.L.,314 W St Louis St,Lebanon,62254,1561,6185374504,3688,1,0,0,0.5,0.5,0.82,1.32,27968,6610,0,3071,37649,,,,4446,,36261,9792,16779,47,26,15,2236,20568,2756,11336,260,820,4421,360,ME,CI,SO,St. Clair,Y,-1,9792,-1,,N,,3688,IL0285,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2740,Lemont P.L.D.,810 Porter St.,Lemont,60439,3735,7082576541,14614,1,0,0,2.81,2.81,8.09,10.9,379527,27749,0,140259,547535,210789,63524,274313,72555,81044,427912,39490,45601,2452,2521,157,3328,88032,6916,108392,4236,2928,43487,6441,ME,SD,SO,Douglas,Y,-1,20866,-1,,Y,ST,14614,IL0286,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2750,Lena Community D.L.,300 West Mason St.,Lena,61048,0756,8153694211,5337,1,0,0,0,2.58,0.13,2.7,62741,3187,2696,4203,72827,43845,3100,46945,6611,19671,73227,1899,14529,732,136,90,1742,24528,2262,25361,209,390,12582,3159,ME,SD,SO,Jo Daviess,Y,-1,1443,-1,,N,,5337,IL0287,IL,17,96,03,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 7, 0, 0, 0, 0, 0, 0
2760,Lewistown Carnegie P.L.D.,321 W. Lincoln,Lewistown,61542,1304,3095472860,5762,1,0,0,0,2.13,0.15,2.27,25609,7812,0,1879,35300,36173,5371,41544,11599,14201,67344,0,18347,96,410,62,2080,9500,9932,23446,158,325,10260,780,ME,SD,SO,Fulton,Y,-1,-1,-1,,,,5762,IL0288,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2770,Lexington P.L.D.,207 S. Cedar,Lexington,61753,1311,3093657801,2930,1,0,0,0,1.95,1.1,3.05,41462,6158,0,16368,63988,33333,3317,36650,15082,11981,63713,0,20962,680,604,89,2210,23530,2782,28769,305,291,11975,760,ME,SD,SO,McLean,Y,-1,1438,-1,,Y,ST,2930,IL0289,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2780,Lincoln P.L.D.,725 Pekin Street,Lincoln,62656,2771,2177328878,15418,1,0,0,1,3,6.7,9.7,362081,44642,54000,36795,497518,161675,41323,202998,41759,83768,328525,195514,39769,459,789,205,3068,82535,6942,92038,1284,948,41111,4083,ME,SD,SO,Logan,Y,-1,4574,-1,,Y,PI,15418,IL0290,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2790,Lisle L.D.,777 Front Street,Lisle,60532,3599,7089711675,26488,1,0,0,10.17,15.79,37.95,53.74,3944841,33110,0,238016,4215967,1160840,250278,1411118,419254,485628,2316000,378979,159386,11956,5697,800,3588,265779,29597,437744,366,1688,143314,13828,ME,SD,SO,Douglas,Y,-1,113465,-1,,Y,ST,26488,IL0292,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2800,Litchfield Carnegie P.L.,400 N. State Street,Litchfield,62056,2086,2173243866,6883,1,0,0,0,2.4,0.25,2.65,49872,8603,0,11212,69687,37005,2627,39632,17142,8948,65722,0,26603,525,639,102,2652,57359,8208,67046,169,727,25239,6007,ME,CI,SO,Montgomery,Y,-1,2550,-1,,Y,ST,6883,IL0293,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2820,A. Herr & E. E. Smith Loda Twp. Lib.,105 E. Adams,Loda,60948,0247,2173862783,1254,1,0,0,0,0.53,0,0.53,19295,1567,0,1411,22273,,,,4380,,17140,3691,4099,0,21,1,1092,3882,130,6026,3,63,2486,60,ME,CI,SO,Iroquois,Y,-1,0,-1,,N,,1254,IL0294,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2830,Helen M. Plum Mem. Lib.,110 W. Maple St.,Lombard,60148,2954,7086270316,39408,1,0,0,10.28,15.85,24.53,40.38,1497597,77043,0,121742,1696382,923049,60571,983620,272545,236520,1492685,210422,186928,11121,3014,403,3744,263035,47871,431048,1362,2321,215245,12395,ME,CI,SO,Douglas,Y,-1,194127,-1,,Y,ST,39408,IL0295,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2840,Lostant Community Lib.,P. O. Box 189,Lostant,61334,0189,8153683530,1400,1,0,0,0,0.29,0,0.29,6035,0,0,1240,7275,,,,920,,8821,993,3689,74,15,9,598,840,390,1843,0,37,760,100,ME,SD,SO,LaSalle,Y,-1,-1,-1,,N,,1400,IL0296,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2850,Lovington P.L.D.,110 W. State Street,Lovington,61937,0199,2178734468,1981,1,0,0,0,1.45,0,1.45,60848,3085,0,5025,68958,,,,4107,,61291,6458,15983,504,296,37,1820,12700,223,13323,739,743,5972,737,ME,SD,SO,Moultrie,Y,-1,3452,-1,,Y,PI,1981,IL0297,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2860,Lyons P.L.,4209 Joliet Avenue,Lyons,60534,1597,7084473577,9828,1,0,0,1,1,4.53,5.53,155007,18916,0,19511,193434,76739,30077,106816,76548,50803,234167,10958,54029,3519,542,170,3068,75640,6032,49901,1667,968,11182,1261,ME,CI,SO,Cook,Y,-1,-1,-1,,Y,ST,9828,IL0298,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2870,M.C. River Valley P.L.D.,304 Main,Meredosia,62665,0259,2175841571,1974,1,0,0,0,1,0.38,1.38,28083,13403,65230,16524,123240,,,,25029,,102274,16649,12097,800,459,73,2808,14725,255,24418,6,405,11162,317,ME,SD,SO,Morgan,Y,-1,5000,-1,,Y,ST,1974,IL0299,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2890,McCook P.L.D.,8419 West 50th Street,McCook,60525,3246,7084421242,278,1,0,0,0.93,1.23,2.25,3.48,129590,11173,0,6879,147642,64718,9783,74501,30356,36173,141030,7405,16149,1135,1360,78,2652,9500,364,16048,5835,774,2972,650,ME,SD,SO,Cook,Y,-1,-1,-1,,Y,PI,278,IL0300,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2900,McHenry P.L.D.,809 North Front Street,McHenry,60050,5528,8153850036,32191,1,0,0,4.25,6.05,8.82,14.87,386493,46033,0,737786,1170312,295987,51421,347408,53374,239002,639784,631966,44921,1546,1001,170,2912,94217,13341,148923,864,7093,73185,6653,ME,SD,SO,McHenry,Y,-1,37821,-1,,Y,PI,32191,IL0301,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2910,McHenry-Nunda P.L.D.,813 W. Route 120,McHenry,60050,1116,8153856303,4002,1,0,0,0,0.6,0.8,1.4,61921,5002,0,5326,72249,,,,5891,,76637,15474,12569,398,162,46,1768,8960,3822,12701,5,85,6749,1305,ME,SD,SO,McHenry,Y,-1,6328,-1,,N,,4002,IL0302,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2920,Mackinaw D.P.L.,117 S. Main,Mackinaw,61755,0560,3093598022,3008,1,0,0,0,1,0.85,1.85,56096,5738,0,4036,65870,,,,10548,,53640,0,17900,586,376,61,1716,19666,717,32385,424,656,10182,895,ME,SD,SO,Tazwell,Y,-1,595,-1,,Y,PI,3008,IL0303,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
3415,Mt. Hope-Funks Grove Twp. L.D.,Box 320 Clinton and Morgan St.,McLean,61754,0320,3098742291,1432,1,0,0,0,0.45,0,0.45,33803,0,0,1658,35461,,,,6298,,20577,913,12404,70,148,34,468,4035,1222,10283,51,68,5526,335,ME,SD,SO,McLean,Y,-1,2223,-1,,Y,PI,1432,IL0304,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2940,McCoy Mem. Lib.,118 South Washington,McLeansboro,62859,1199,6186432125,2677,1,0,0,0,1.02,0.16,1.19,10397,5371,0,6056,21824,,,,3193,,24674,0,14232,70,26,103,2132,11800,2106,21439,0,639,4913,570,ME,CI,SO,Hamilton,Y,-1,125,-1,,N,,2677,IL0305,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2950,Macomb P.L.D.,235 South Lafayette,Macomb,61455,0220,3098332714,20129,1,0,0,1,4.5,1.5,6,125176,35166,0,14048,174390,96269,14781,111050,23680,34507,169237,1989,60982,1316,155,188,3276,43115,9000,97101,315,605,38642,2325,ME,SD,SO,McDonough,Y,-1,4000,-1,,Y,PE,20129,IL0306,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2960,South Macon P.L.D.,451 W. Glenn St.,Macon,62544,0288,2177643356,3708,1,0,0,0,1.2,0.17,1.38,58025,4635,0,12517,75177,,,,8563,,51111,24621,6400,34,12,32,1534,6292,1326,12688,0,157,8181,772,ME,SD,SO,Macon,Y,-1,0,-1,,Y,ST,3708,IL0307,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2970,Madison P.L.,1700 5th St.,Madison,62060,1502,6188768448,4629,1,0,0,0,1.5,0,1.5,21996,15699,0,0,37695,,,,4176,,36951,0,26256,851,279,110,2080,4997,4880,46549,1801,340,13555,90,ME,CI,SO,Madson,Y,-1,2950,-1,,Y,PI,4629,IL0308,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2980,Mahomet P.L.D.,512 E. Main St.,Mahomet,61853,0829,2175862611,8440,1,0,0,2,2,2.82,4.82,180073,31387,0,18503,229963,75768,14394,90162,30922,53292,174376,18873,17341,566,514,106,3224,50908,2262,81577,5257,3683,32042,1456,ME,SD,SO,Champaign,Y,-1,615,-1,,Y,PE,8440,IL0309,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
2990,Malta Twp. P.L.,2nd and Adams St.,Malta,60150,0054,8158252525,1335,1,0,0,0,0.63,0.03,0.65,23095,1661,0,475,25231,,,,12149,,25201,0,12710,129,159,40,1300,5981,1430,15784,23,110,8050,508,ME,CI,SO,DeKalb,Y,-1,100,-1,,Y,PI,1335,IL0310,IL,17,96,03,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
